id,carat,cut,color,clarity,depth,table,x,y,z,price
21011,1.21,Premium,J,VVS1,61.3,59.0,6.81,6.86,4.19,5893
3291,0.4,Good,G,VVS2,61.4,64.0,4.65,4.7,2.87,974
18264,2.53,Fair,H,SI2,64.6,59.0,8.54,8.45,5.4,17103
17066,1.32,Ideal,G,VS1,62.6,56.0,7.05,7.0,4.4,9979
8179,0.36,Very Good,E,VS2,60.4,58.0,4.58,4.62,2.78,677
26161,1.3,Very Good,I,VS2,62.7,57.0,6.88,6.9,4.32,6290
2544,1.03,Ideal,H,SI2,60.5,57.0,6.58,6.52,3.96,3692
7581,1.07,Ideal,G,SI1,60.2,57.0,6.7,6.59,4.0,5453
5392,0.43,Ideal,G,IF,62.5,54.0,4.83,4.86,3.03,1318
2796,1.01,Ideal,H,SI1,61.7,57.0,6.37,6.44,3.96,5387
6358,0.53,Very Good,E,SI1,61.6,58.0,5.19,5.23,3.21,1395
2488,1.48,Very Good,H,SI1,62.5,59.0,7.16,7.23,4.5,8815
19696,0.33,Premium,G,VVS2,60.6,58.0,4.5,4.47,2.72,965
1,0.3,Ideal,E,SI1,62.1,58.0,4.27,4.29,2.66,499
15715,1.14,Premium,G,SI2,61.1,59.0,6.77,6.72,4.12,4688
26500,1.06,Very Good,F,VS2,62.2,57.0,6.53,6.58,4.08,6823
7407,0.51,Good,E,SI1,64.3,55.0,5.12,5.05,3.27,1624
25277,0.3,Ideal,H,VVS2,62.1,56.0,4.28,4.32,2.67,605
24421,1.04,Ideal,I,SI1,62.2,56.0,6.51,6.47,4.04,4484
2292,0.5,Ideal,F,VVS2,62.0,53.6,5.09,5.13,3.18,2025
6987,0.32,Ideal,G,VS1,61.9,55.0,4.4,4.42,2.73,602
5692,1.01,Very Good,G,VS2,62.5,59.0,6.34,6.37,3.97,6204
18827,1.52,Very Good,F,VS2,60.9,56.0,7.38,7.44,4.51,13215
23797,0.73,Ideal,G,SI1,60.7,56.0,5.89,5.81,3.55,2659
13987,0.5,Good,D,SI1,63.9,56.0,5.02,4.93,3.18,1257
4174,0.7,Good,J,VS2,63.2,61.0,5.59,5.62,3.54,1843
803,0.4,Very Good,D,VS1,63.1,55.0,4.7,4.74,2.98,967
